,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,BEDOKVILLE,1.32368059857,103.947565974,Amy's Laksa,1.32311117828,103.94595711,Noodle House
1,BEDOKVILLE,1.32368059857,103.947565974,Kimly Seafood,1.32310978884,103.945938596,Coffee Shop
2,BEDOKVILLE,1.32368059857,103.947565974,New Changi Eating House,1.32311683929,103.945953665,Asian Restaurant
3,BEDOKVILLE,1.32368059857,103.947565974,Tanah Merah MRT Interchange (EW4),1.32730859661,103.946443097,Train Station
4,BEDOKVILLE,1.32368059857,103.947565974,Netball Court Quadrangle Bedok South,1.325625,103.950991,Basketball Court
5,BEDOKVILLE,1.32368059857,103.947565974,Changi Naval Base Pick Up Point @ Tanah Merah,1.32736475294,103.945903259,Bus Station
6,BEDOKVILLE,1.32368059857,103.947565974,East Meadows Swimming Pool,1.327519,103.946264,Pool
7,BEDOKVILLE,1.32368059857,103.947565974,Parit Puaka Dalam,1.327666,103.94682,Lake
8,BEDOKVILLE,1.32368059857,103.947565974,Indoor Sports Hall @ Bedok South,1.326071,103.951059,School
9,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572,La Pizzaiola,1.34744298701,103.867599498,Pizza Place
10,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572,Wimbly Lu Chocolates,1.34749125187,103.867536878,Dessert Shop
11,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572,Tennis Court @ Chiltern Park,1.349845,103.863237,Tennis Court
12,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572,The Coffee Bean & Tea Leaf,1.35139309614,103.861952197,Café
13,BRADDELL HEIGHTS ESTATE,1.34910579671,103.86504572,Bus Stop 66029,1.3502411156,103.861400978,Bus Station
14,BUKIT LOYANG ESTATE,1.36105552997,103.964244914,Squash Court @ Carissa Park Condominium,1.35925410804,103.96401,Gym / Fitness Center
15,BUKIT LOYANG ESTATE,1.36105552997,103.964244914,SBS Transit: Bus 81,1.36286279803,103.963108063,Bus Line
16,BUKIT LOYANG ESTATE,1.36105552997,103.964244914,Bus Stop 98091 (Blk 156),1.36441458194,103.963178842,Bus Station
17,BUKIT LOYANG ESTATE,1.36105552997,103.964244914,Giant Super,1.3653657214,103.963616771,Grocery Store
18,CAPITOL PARK,1.32871334683,103.817978205,Hollandse Club,1.32996624001,103.816647683,Hotel
19,CAPITOL PARK,1.32871334683,103.817978205,Akane Restaurant,1.33085087752,103.815565069,Japanese Restaurant
20,CAPITOL PARK,1.32871334683,103.817978205,Donguri,1.33112114656,103.815886853,Japanese Restaurant
21,CAPITOL PARK,1.32871334683,103.817978205,University Road Park,1.32669002646,103.817762874,Park
22,CAPITOL PARK,1.32871334683,103.817978205,7Adam,1.32944140719,103.813910427,Modern European Restaurant
23,CAPITOL PARK,1.32871334683,103.817978205,Paradise Pet Shop,1.32953170523,103.821923272,Pet Store
24,CASHEW GREEN,1.37303905903,103.770301318,Petir Park,1.37568669875,103.76856669,Park
25,CASHEW GREEN,1.37303905903,103.770301318,Suncottages,1.3722786878,103.769038793,Housing Development
26,CASHEW GREEN,1.37303905903,103.770301318,Pending Street Soccer Court,1.37485240663,103.772097487,Soccer Field
27,CASHEW GREEN,1.37303905903,103.770301318,Cashew Medical,1.37160708797,103.76805179,Karaoke Bar
28,CASHEW GREEN,1.37303905903,103.770301318,Bus Stop 44211 (Blk 127),1.37611326181,103.768989782,Bus Station
29,CASHEW GREEN,1.37303905903,103.770301318,Bus Stop 44221 (Opp Pending Station),1.37638799504,103.771190643,Bus Station
30,CASHEW VILLAS,1.37182670906,103.768708675,Petir Park,1.37568669875,103.76856669,Park
31,CASHEW VILLAS,1.37182670906,103.768708675,Cashew Medical,1.37160708797,103.76805179,Karaoke Bar
32,CASHEW VILLAS,1.37182670906,103.768708675,Suncottages,1.3722786878,103.769038793,Housing Development
33,CASHEW VILLAS,1.37182670906,103.768708675,AES Basketball Court,1.36879053534,103.766077082,Basketball Court
34,CASHEW VILLAS,1.37182670906,103.768708675,Bus Stop 44211 (Blk 127),1.37611326181,103.768989782,Bus Station
35,CHANGI HEIGHTS,1.36293728687,103.97353199,Changi Prison Museum & Chapel,1.3623038559,103.974053719,History Museum
36,CHANGI HEIGHTS,1.36293728687,103.97353199,LOTS Gourmet,1.36032538817,103.970366808,Café
37,CHANGI HEIGHTS,1.36293728687,103.97353199,The Bark Cafe,1.3623559749,103.973633756,Café
38,CHANGI HEIGHTS,1.36293728687,103.97353199,Ding Heng Eating House,1.36031187576,103.970371192,Coffee Shop
39,CHANGI HEIGHTS,1.36293728687,103.97353199,Leong Ji Seafood,1.3607070482,103.970510049,Chinese Restaurant
40,CHANGI HEIGHTS,1.36293728687,103.97353199,Soon Tong Huat,1.36046083539,103.970410905,Department Store
41,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Yong Kang Restaurant,1.35983354458,103.895278074,Food Court
42,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Restaurant 121,1.36278104456,103.894212605,Coffee Shop
43,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Old Chang Kee,1.35885835608,103.891315991,Food Truck
44,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Kou Fu at Blk 4 Defu Lane 10,1.35980984205,103.895303069,Food Court
45,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Bus Stop 63071 (Opp Blk 248),1.35985380365,103.893265571,Bus Station
46,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Bus Stop 63081 (Opp Blk 241),1.3568419025,103.89263918,Bus Station
47,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,永康大餐官,1.361662,103.89545,Coffee Shop
48,DEFU INDUSTRIAL ESTATE,1.35877349271,103.894808605,Hougang Food Place,1.35882989716,103.891837175,Coffee Shop
49,DUNEARN ESTATE,1.32353198305,103.820569511,Jacob Ballas Children's Garden,1.32079598961,103.817863966,Garden
50,DUNEARN ESTATE,1.32353198305,103.820569511,CCAB Stadium,1.32054658724,103.819534565,Track Stadium
51,DUNEARN ESTATE,1.32353198305,103.820569511,Shell Dunearn University,1.32317183972,103.817314661,Gas Station
52,DUNEARN ESTATE,1.32353198305,103.820569511,Bus Stop 41011 (NUS),1.32240301728,103.818940847,Bus Station
53,DUNEARN ESTATE,1.32353198305,103.820569511,Khai Seng Garden,1.321103,103.820978,Flower Shop
54,DUNEARN ESTATE,1.32353198305,103.820569511,Treehouse @ Jacob Ballas,1.32167881083,103.818878418,Playground
55,DUNEARN ESTATE,1.32353198305,103.820569511,7-ELEVEN®,1.32334862596,103.817667961,Convenience Store
56,DUNEARN ESTATE,1.32353198305,103.820569511,CCAB Tennis Courts,1.32064071084,103.819143999,Tennis Court
57,DUNEARN ESTATE,1.32353198305,103.820569511,Plant Resource Center | Singapore Botanic Gardens,1.32205078271,103.817549944,Botanical Garden
58,DUNEARN ESTATE,1.32353198305,103.820569511,Odyssey Lounge,1.322448,103.823802,Bus Station
59,DUNEARN ESTATE,1.32353198305,103.820569511,Kidz Cafe,1.3207149669,103.817915703,Café
60,DUNEARN ESTATE,1.32353198305,103.820569511,University Road Park,1.32669002646,103.817762874,Park
61,DUNEARN ESTATE,1.32353198305,103.820569511,Bus Stop 41029 (opp Botanic Gdns Stn),1.32328351172,103.81624467,Bus Station
62,EAST COAST HILL,1.31693439906,103.935361984,Hill Street Fried Kway Teow,1.32037248212,103.935190695,Chinese Restaurant
63,EAST COAST HILL,1.31693439906,103.935361984,Cool Echo Bubble Tea,1.32090848974,103.934970621,Dessert Shop
64,EAST COAST HILL,1.31693439906,103.935361984,Pasar 16 @ Bedok (Bedok South Market & Food Centre) 栢夏坊,1.32036415761,103.935106586,Food Court
65,EAST COAST HILL,1.31693439906,103.935361984,Prime Supermarket,1.32136366056,103.93461938,Grocery Store
66,EAST COAST HILL,1.31693439906,103.935361984,Hock Seng Choon Fishball Kway Teow Mee,1.32033877906,103.935147386,Noodle House
67,EAST COAST HILL,1.31693439906,103.935361984,Bus Stop 84151 (Casafina),1.31651297148,103.933118118,Bus Stop
68,EAST COAST HILL,1.31693439906,103.935361984,Bus Stop 94011 (Evergreen Garden),1.31427077219,103.934902639,Bus Stop
69,EAST COAST HILL,1.31693439906,103.935361984,Cheers,1.31437117447,103.934251145,Convenience Store
70,EAST COAST HILL,1.31693439906,103.935361984,Hong Soon Food Court Bedok South Rd,1.319916,103.934971,Coffee Shop
71,EAST COAST HILL,1.31693439906,103.935361984,Yong Sin Coffee Stall 永兴咖啡室,1.320082,103.93529,Breakfast Spot
72,EAST COAST HILL,1.31693439906,103.935361984,Ng Kian Seng Confectionery,1.32022084739,103.935157572,Bakery
73,EAST COAST HILL,1.31693439906,103.935361984,Japanese House @ Blk 16,1.320346,103.935154,Japanese Restaurant
74,EAST COAST HILL,1.31693439906,103.935361984,Ah Wah Rojak @ Bedok South Hawker Centre,1.3204093569,103.935123581,Chinese Restaurant
75,EAST COAST HILL,1.31693439906,103.935361984,福成春魚圓粿條麵,1.32049668866,103.93520168,Asian Restaurant
76,EAST COAST HILL,1.31693439906,103.935361984,Blk 17,1.32076957637,103.935331683,Cosmetics Shop
77,EAST COAST HILL,1.31693439906,103.935361984,Offer & Save,1.32112462372,103.935209764,Convenience Store
78,EAST COAST HILL,1.31693439906,103.935361984,Jin Yuan Xiang Soy Bean,1.32124511942,103.935265211,Breakfast Spot
79,EAST COAST HILL,1.31693439906,103.935361984,Bus Stop 93139 (Eastern Lagoon II),1.31282222636,103.933903511,Bus Station
80,EAST COAST HILL,1.31693439906,103.935361984,Bus Stop outside Lions Home (Bedok South),1.320334,103.938116,Bus Station
81,EAST COAST PARK,1.31396064071,103.923442052,BLooIE's Roadhouse Bar & Grill,1.312945,103.924655,American Restaurant
82,EAST COAST PARK,1.31396064071,103.923442052,Eat First 食之为鲜,1.312579,103.924913,Comfort Food Restaurant
83,EAST COAST PARK,1.31396064071,103.923442052,Craftsmen Specialty Coffee,1.31293880772,103.923377751,Coffee Shop
84,EAST COAST PARK,1.31396064071,103.923442052,Tasty Court by Chef Pung,1.315609,103.925841,Chinese Restaurant
85,EAST COAST PARK,1.31396064071,103.923442052,Sidewalk Tavern,1.31258155677,103.924922216,Sports Bar
86,EAST COAST PARK,1.31396064071,103.923442052,Georges Mad Bar & Grill,1.3116133506,103.921814679,American Restaurant
87,EAST COAST PARK,1.31396064071,103.923442052,Iza Bar,1.311801,103.922093,Japanese Restaurant
88,EAST COAST PARK,1.31396064071,103.923442052,Sushi Jiro,1.311787,103.921903,Japanese Restaurant
89,EAST COAST PARK,1.31396064071,103.923442052,Starbucks,1.31272359947,103.925466056,Coffee Shop
90,EAST COAST PARK,1.31396064071,103.923442052,Dutch Colony Coffee Co.,1.31426670469,103.919505842,Coffee Shop
91,EAST COAST PARK,1.31396064071,103.923442052,Mas Ayu Restaurant,1.31296687406,103.926870883,Malay Restaurant
92,EAST COAST PARK,1.31396064071,103.923442052,Hands + Feet Studio,1.31623,103.919937,Massage Studio
93,EAST COAST PARK,1.31396064071,103.923442052,Fu Lin Tou Fu Yuen 福林豆腐园,1.31207611907,103.922870435,Chinese Restaurant
94,EAST COAST PARK,1.31396064071,103.923442052,Udders,1.31317042641,103.927778343,Ice Cream Shop
95,EAST COAST PARK,1.31396064071,103.923442052,Jin Wee Restaurant,1.31259829931,103.925001621,Chinese Restaurant
96,EAST COAST PARK,1.31396064071,103.923442052,Ah Lim Mee Poh,1.3129875243,103.925932694,Coffee Shop
97,EAST COAST PARK,1.31396064071,103.923442052,Springleaf Prata Place,1.31601896612,103.92560461,South Indian Restaurant
98,EAST COAST PARK,1.31396064071,103.923442052,New Leaf Park Yong Tau Fu,1.31241666355,103.923131044,Chinese Restaurant
99,EAST COAST PARK,1.31396064071,103.923442052,Next Door Café & Taverna,1.31182358173,103.922346338,Pub
100,EAST COAST PARK,1.31396064071,103.923442052,Peperoni Pizzeria,1.31479307477,103.919120118,Pizza Place
101,EAST COAST PARK,1.31396064071,103.923442052,Megumi Japanese Restaurant,1.31309920434,103.927557725,Japanese Restaurant
102,EAST COAST PARK,1.31396064071,103.923442052,Feet Press,1.3124614476,103.924093735,Massage Studio
103,EAST COAST PARK,1.31396064071,103.923442052,Malthouse,1.31160594164,103.921716676,Gastropub
104,EAST COAST PARK,1.31396064071,103.923442052,Cold Storage,1.31261559853,103.923537985,Supermarket
105,EAST COAST PARK,1.31396064071,103.923442052,Flor Patisserie,1.31626167007,103.91987537,Café
106,EAST COAST PARK,1.31396064071,103.923442052,Perle Noire Oyster & Grill Bar,1.31321180541,103.927826648,French Restaurant
107,EAST COAST PARK,1.31396064071,103.923442052,Chendol Melaka,1.312973,103.925811,Dessert Shop
108,EAST COAST PARK,1.31396064071,103.923442052,Subway,1.31249880079,103.923485692,Sandwich Place
109,EAST COAST PARK,1.31396064071,103.923442052,OD wellness,1.31326687336,103.92780304,Spa
110,EAST COAST PARK,1.31396064071,103.923442052,Indian Wok,1.31180374495,103.922094943,Indian Restaurant
111,EAST COAST PARK,1.31396064071,103.923442052,Big fish,1.31320885097,103.927779822,Seafood Restaurant
112,EAST COAST PARK,1.31396064071,103.923442052,Mikawa Yakitori Bar,1.3131673,103.92694,BBQ Joint
113,EAST COAST PARK,1.31396064071,103.923442052,Lai Huat Sambal Fish Restaurant,1.3129415175,103.925943278,Seafood Restaurant
114,EAST COAST PARK,1.31396064071,103.923442052,桃园美食村 LTN EC  936 Food Village,1.31256730924,103.925326889,Food Court
115,EAST COAST PARK,1.31396064071,103.923442052,Jag's Gastropub,1.31256530147,103.924919409,Gastropub
116,EAST COAST PARK,1.31396064071,103.923442052,Vie Bar,1.31203910806,103.924175855,Bar
117,EAST COAST PARK,1.31396064071,103.923442052,Philosophy of Drinking (POD),1.31180669431,103.922297313,Pub
118,EAST COAST PARK,1.31396064071,103.923442052,Green Apple Spa,1.31259581431,103.925470882,Spa
119,EAST COAST PARK,1.31396064071,103.923442052,Killiney Kopitiam,1.31276247171,103.925655739,Asian Restaurant
120,EAST COAST PARK,1.31396064071,103.923442052,Xin Wang Hong Kong Café,1.31264147508,103.924934028,Café
121,EAST COAST PARK,1.31396064071,103.923442052,Vines On Nine Cafe Bar,1.31275817709,103.925590626,Wine Bar
122,EAST COAST PARK,1.31396064071,103.923442052,Siglap Linear Park,1.31514920142,103.926773344,Park
123,EAST COAST PARK,1.31396064071,103.923442052,NTUC FairPrice,1.31252642818,103.925232896,Supermarket
124,EAST COAST PARK,1.31396064071,103.923442052,Indian Curry House,1.31295081168,103.926361727,Indian Restaurant
125,EAST COAST PARK,1.31396064071,103.923442052,Different Taste Café and Restaurant,1.31428342497,103.919386017,Asian Restaurant
126,EAST COAST PARK,1.31396064071,103.923442052,Chutney Mary Indian Fast Food,1.31198978354,103.922823115,Indian Restaurant
127,EAST COAST PARK,1.31396064071,103.923442052,Soy Eu Tua Kopi Tiam,1.31298325185,103.925915978,Coffee Shop
128,EAST COAST PARK,1.31396064071,103.923442052,Gourmet Plus,1.31415484721,103.919460715,Spanish Restaurant
129,EAST COAST PARK,1.31396064071,103.923442052,New Leaf Park Food Paradise,1.31230624783,103.923149862,Coffee Shop
130,EAST COAST PARK,1.31396064071,103.923442052,The Royals Cafe (Siglap),1.31295497483,103.926075555,Café
131,EAST COAST PARK,1.31396064071,103.923442052,STRICTLY PANCAKES,1.31313414974,103.927766359,Dessert Shop
132,EAST COAST PARK,1.31396064071,103.923442052,Cedele Bakery Depot,1.31422957549,103.919421486,Bakery
133,EAST COAST PARK,1.31396064071,103.923442052,Bird Bird,1.3147451368,103.919261987,Fried Chicken Joint
134,EDEN PARK,1.33093472968,103.792613639,MEAT n' CHILL,1.33142527156,103.794955015,BBQ Joint
135,EDEN PARK,1.33093472968,103.792613639,Simply Bread,1.33053494352,103.795658144,Bakery
136,EDEN PARK,1.33093472968,103.792613639,Brazil Churrasco,1.33079753092,103.795200739,Churrascaria
137,EDEN PARK,1.33093472968,103.792613639,Little Diner,1.33133199628,103.796281009,Diner
138,EDEN PARK,1.33093472968,103.792613639,Sunny Heights,1.33469990001,103.794795253,Dog Run
139,EDEN PARK,1.33093472968,103.792613639,The Tea Party Café,1.33173728185,103.794940348,Tea Room
140,EDEN PARK,1.33093472968,103.792613639,The Living Cafe & Deli,1.33113856992,103.79654381,Café
141,EDEN PARK,1.33093472968,103.792613639,Omar Shariff Authentic Indian Cuisine,1.3314649138,103.794899276,Indian Restaurant
142,EDEN PARK,1.33093472968,103.792613639,Yakitori Lounge Hibiki,1.332061,103.794008,Japanese Restaurant
143,EDEN PARK,1.33093472968,103.792613639,Ikeda Spa,1.33122612777,103.796265979,Spa
144,EDEN PARK,1.33093472968,103.792613639,Caruso Ristorante Pizza Bar,1.33134573544,103.796117816,Pizza Place
145,EDEN PARK,1.33093472968,103.792613639,Violet Oon Singapore,1.3329224928,103.791161731,Asian Restaurant
146,EDEN PARK,1.33093472968,103.792613639,Bar Bar Black Sheep,1.33279237886,103.791244116,Bar
147,EDEN PARK,1.33093472968,103.792613639,SHER - Authentic Indian Experience,1.33267025059,103.791229906,Indian Restaurant
148,EDEN PARK,1.33093472968,103.792613639,Durian Lingers,1.33152367194,103.794921283,Restaurant
149,EDEN PARK,1.33093472968,103.792613639,Pasta Fresca Da Salvatore,1.33214493816,103.793986639,Italian Restaurant
150,EDEN PARK,1.33093472968,103.792613639,Top Seafood,1.33093025292,103.795122173,Seafood Restaurant
151,EDEN PARK,1.33093472968,103.792613639,Kim San Leng 金山嶺 Bukit Timah (Coffeeshop),1.33286595551,103.790882441,Food Court
152,EDEN PARK,1.33093472968,103.792613639,Horsecity,1.33380057968,103.795783141,Building
153,EDEN PARK,1.33093472968,103.792613639,May's Kopi Bar @ Good Good Eating House,1.33040897132,103.794996892,Coffee Shop
154,EDEN PARK,1.33093472968,103.792613639,le rida,1.333272,103.790468,Middle Eastern Restaurant
155,EDEN PARK,1.33093472968,103.792613639,1855 The Bottleshop @ 6th Ave,1.33096732838,103.795069281,Wine Bar
156,EDEN PARK,1.33093472968,103.792613639,Lazy Lizard,1.33116934265,103.795248815,Beer Garden
157,EDEN PARK,1.33093472968,103.792613639,KFC,1.33024220322,103.795757347,Fast Food Restaurant
158,EDEN PARK,1.33093472968,103.792613639,Sixth Cafelink,1.33107082201,103.794882843,Food Court
159,EDEN PARK,1.33093472968,103.792613639,The Coffee Bean & Tea Leaf,1.33059906504,103.795575818,Coffee Shop
160,EDEN PARK,1.33093472968,103.792613639,Good Good Eating House 好好餐室 (Good Good Eating House),1.33043111601,103.794985139,Food Court
161,EDEN PARK,1.33093472968,103.792613639,Ritz Apple Strudel,1.33117956529,103.794942396,Bakery
162,EDEN PARK,1.33093472968,103.792613639,Indian Curry House,1.33168249886,103.795299408,Indian Restaurant
163,EDEN PARK,1.33093472968,103.792613639,Standard Chartered Bank (Priority Banking Centre),1.33133296234,103.796014248,Bank
164,EDEN PARK,1.33093472968,103.792613639,Rubiah Malay Stall,1.33272536255,103.790697489,Malay Restaurant
165,ELIAS TERRACE,1.37176160861,103.942922198,Bus Stop 77021 (Opp Blk 571),1.3706060288,103.943740564,Bus Station
166,ELIAS TERRACE,1.37176160861,103.942922198,Bus Stop 77019 (Blk 515),1.37348134954,103.943429001,Bus Station
167,ELIAS TERRACE,1.37176160861,103.942922198,Go-Ahead: Bus 403,1.37269340825,103.946862356,Bus Line
168,ELIAS TERRACE,1.37176160861,103.942922198,Bus Stop 77241 (Opp Blk 640),1.37526179202,103.940384388,Bus Station
169,ESTE VILLA,1.38218509253,103.864427984,Swimming Pool ,1.38314882224,103.863217189,Pool
170,ESTE VILLA,1.38218509253,103.864427984,Nim Garden,1.38069342294,103.863471989,Garden
171,ESTE VILLA,1.38218509253,103.864427984,Nim Green,1.38303979875,103.866501313,Park
172,ESTE VILLA,1.38218509253,103.864427984,Lilac Dr Playground,1.38170111614,103.861128813,Playground
173,ESTE VILLA,1.38218509253,103.864427984,Bus Stop 54651 opp Techplace 2,1.37856,103.865433,Bus Station
174,ESTE VILLA,1.38218509253,103.864427984,Stratton Park,1.37852843185,103.866121936,Park
175,ESTE VILLA,1.38218509253,103.864427984,Momo Bunny's Playland,1.38084462742,103.868619048,Playground
176,FABER HILLS,1.32062382686,103.760430498,Nobiro Japanese Restaurant & Sake bar,1.3204109639,103.756561041,Japanese Restaurant
177,FABER HILLS,1.32062382686,103.760430498,Ô boeuf à 6 pattes,1.31641575743,103.759870236,French Restaurant
178,FABER HILLS,1.32062382686,103.760430498,Firefly Park @ Clementi,1.32038511061,103.764843611,Park
179,FABER HILLS,1.32062382686,103.760430498,Meena Shop,1.32084639647,103.762484205,Food & Drink Shop
180,FABER HILLS,1.32062382686,103.760430498,Bus Stop 28011 (aft Old ITE West Clementi),1.32427097418,103.759178784,Bus Station
181,FABER HILLS,1.32062382686,103.760430498,Bus Stop 17059 (Regent Pk),1.31669728282,103.761638532,Bus Station
182,FIVE CHANCERY,1.31858647022,103.836751695,Pu Dong Restaurant,1.31673250424,103.835618712,Chinese Restaurant
183,FIVE CHANCERY,1.31858647022,103.836751695,Spizza,1.31692553197,103.835439756,Pizza Place
184,FIVE CHANCERY,1.31858647022,103.836751695,Smiths Authentic British Fish & Chips,1.31642209144,103.835779929,Seafood Restaurant
185,FIVE CHANCERY,1.31858647022,103.836751695,Cold Storage,1.31721728486,103.836264453,Grocery Store
186,FIVE CHANCERY,1.31858647022,103.836751695,CLUB ION III,1.31700802653,103.835314294,Nightclub
187,FIVE CHANCERY,1.31858647022,103.836751695,Waffletown USA,1.31687561629,103.835490651,American Restaurant
188,FIVE CHANCERY,1.31858647022,103.836751695,Traditional Balinese Massage @ Balmoral Plaza,1.31672555355,103.835622356,Massage Studio
189,FIVE CHANCERY,1.31858647022,103.836751695,Alliance Francaise Theatre,1.31432812032,103.837025175,Movie Theater
190,FIVE CHANCERY,1.31858647022,103.836751695,Dunearn Gardens' Gym,1.3146880728,103.838679366,Gym
191,FRANKEL ESTATE,1.31210819607,103.918970789,Dutch Colony Coffee Co.,1.31426670469,103.919505842,Coffee Shop
192,FRANKEL ESTATE,1.31210819607,103.918970789,Peperoni Pizzeria,1.31479307477,103.919120118,Pizza Place
193,FRANKEL ESTATE,1.31210819607,103.918970789,Georges Mad Bar & Grill,1.3116133506,103.921814679,American Restaurant
194,FRANKEL ESTATE,1.31210819607,103.918970789,Sushi Jiro,1.311787,103.921903,Japanese Restaurant
195,FRANKEL ESTATE,1.31210819607,103.918970789,Hands + Feet Studio,1.31623,103.919937,Massage Studio
196,FRANKEL ESTATE,1.31210819607,103.918970789,Iza Bar,1.311801,103.922093,Japanese Restaurant
197,FRANKEL ESTATE,1.31210819607,103.918970789,Craftsmen Specialty Coffee,1.31293880772,103.923377751,Coffee Shop
198,FRANKEL ESTATE,1.31210819607,103.918970789,Next Door Café & Taverna,1.31182358173,103.922346338,Pub
199,FRANKEL ESTATE,1.31210819607,103.918970789,Fu Lin Tou Fu Yuen 福林豆腐园,1.31207611907,103.922870435,Chinese Restaurant
200,FRANKEL ESTATE,1.31210819607,103.918970789,Malthouse,1.31160594164,103.921716676,Gastropub
201,FRANKEL ESTATE,1.31210819607,103.918970789,Flor Patisserie,1.31626167007,103.91987537,Café
202,FRANKEL ESTATE,1.31210819607,103.918970789,New Leaf Park Yong Tau Fu,1.31241666355,103.923131044,Chinese Restaurant
203,FRANKEL ESTATE,1.31210819607,103.918970789,Indian Wok,1.31180374495,103.922094943,Indian Restaurant
204,FRANKEL ESTATE,1.31210819607,103.918970789,Kwee Sai Fong Eating House,1.31582700782,103.918881829,Coffee Shop
205,FRANKEL ESTATE,1.31210819607,103.918970789,Different Taste Café and Restaurant,1.31428342497,103.919386017,Asian Restaurant
206,FRANKEL ESTATE,1.31210819607,103.918970789,Gourmet Plus,1.31415484721,103.919460715,Spanish Restaurant
207,FRANKEL ESTATE,1.31210819607,103.918970789,Philosophy of Drinking (POD),1.31180669431,103.922297313,Pub
208,FRANKEL ESTATE,1.31210819607,103.918970789,Cedele Bakery Depot,1.31422957549,103.919421486,Bakery
209,FRANKEL ESTATE,1.31210819607,103.918970789,Bird Bird,1.3147451368,103.919261987,Fried Chicken Joint
210,FRANKEL ESTATE,1.31210819607,103.918970789,Chutney Mary Indian Fast Food,1.31198978354,103.922823115,Indian Restaurant
211,FRANKEL ESTATE,1.31210819607,103.918970789,New Leaf Park Food Paradise,1.31230624783,103.923149862,Coffee Shop
212,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Ah Chew Desserts 阿秋甜品 (Ah Chew Desserts),1.318411,103.843714,Dessert Shop
213,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Udders,1.31825278064,103.84394755,Ice Cream Shop
214,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Starbucks Reserve,1.31767316829,103.84402113,Coffee Shop
215,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Ichiban Boshi,1.31750613823,103.843836387,Sushi Restaurant
216,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Joe & Dough,1.32073820032,103.843819221,Sandwich Place
217,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Running Lab,1.31920380767,103.843548143,Sporting Goods Shop
218,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Starbucks,1.31995465113,103.84437846,Coffee Shop
219,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,La Ristrettos,1.32069925965,103.844149946,Café
220,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,The Clue-less Goat,1.318624,103.843542,Café
221,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Brauhaus Restaurant & Pub,1.31720416131,103.844246029,German Restaurant
222,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,True Fitness Velocity Novena,1.31922859911,103.843684538,Gym
223,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Mama Patisserie,1.32127085744,103.844129069,Bakery
224,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,QQ Rice,1.32141767158,103.844524284,Restaurant
225,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Curry Times,1.32013603277,103.844535059,Asian Restaurant
226,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,海底捞Hai Di Lao Hotpot,1.3204152221,103.843131439,Hotpot Restaurant
227,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Da Luca Italian Restaurant,1.31832053315,103.842266257,Italian Restaurant
228,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Hong Kong Street Family Restaurant,1.32069909339,103.842503456,Chinese Restaurant
229,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Healing Touch,1.31584201818,103.844988685,Massage Studio
230,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Ling Zhi | 灵芝,1.319913323,103.843343157,Vegetarian / Vegan Restaurant
231,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Ya Kun Kaya Toast 亞坤,1.31735459498,103.844228477,Coffee Shop
232,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Kushi Japanese Dining Bar,1.31666002821,103.841490816,Japanese Restaurant
233,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Barcook Bakery,1.32126691949,103.844194735,Bakery
234,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Oasia Hotel Singapore,1.3202612175,103.844726385,Hotel
235,GOLDHILL SHOPPING CENTRE,1.3181580889,103.843303401,Once Upon A Thyme,1.32082098916,103.844525683,Italian Restaurant
